id, gid,price,comment,intro,shop, listimga1, listimga2, listimga3, listimga4, listimga5, listimga6,listimgb1,listimgb2,listimgb3,listimgb4,listimgb5,listimgb6,detailimgb1,detailimgb2,detailimgb3,detailimgb4,detailimgb5,detailimgb6,detailimgs1,detailimgs2,detailimgs3,detailimgs4,detailimgs5,detailimgs6
1,1,8788.00 ,0,"Apple iPhone XS Max 256G 银色 移动联通电信4G手机

iPhone XS Max配备6.5英寸显示屏，",国美Apple产品专营店,../img/l1a-tu1.jpg,../img/l1a-tu2.jpg,../img/l1a-tu3.jpg,../img/l1a-tu4.jpg,../img/l1a-tu5.jpg,,../imgl1b-tu1.jpg,../imgl1b-tu2.jpg,../imgl1b-tu3.jpg,../imgl1b-tu4.jpg,../imgl1b-tu5.jpg,,../img/d1b-tu1.jpg,../img/d1b-tu2.jpg,../img/d1b-tu3.jpg,../img/d1b-tu4.jpg,../img/d1b-tu5.jpg,,../img/d1s-tu1.jpg,../img/d1s-tu2.jpg,..img/d1s-tu3.jpg,../img/d1s-tu4.jpg,../img/d1s-tu5.jpg,
2,2,1899.00 ,0,"荣耀（honor）荣耀8X (JSN-AL00)全网通6GB+128GB梦幻紫

拥有91%屏占比，破界无边的开阔视",自营荣耀官方旗舰店,../img/l2a-tu1.jpg,../img/l2a-tu2.jpg,../img/l2a-tu3.jpg,../img/l2a-tu4.jpg,../img/l2a-tu5.jpg,,../img/l2b-tu1.jpg,../img/l2b-tu2.jpg,../img/l2b-tu3.jpg,../img/l2b-tu4.jpg,../img/l2b-tu5.jpg,,../img/d2b-tu1.jpg,../img/d2b-tu2.jpg,../img/d2b-tu3.jpg,../img/d2b-tu4.jpg,../img/d2b-tu5.jpg,,../img/d2s-tu1.jpg,../img/d2s-tu2.jpg,../img/d2s-tu3.jpg,../img/d2s-tu4.jpg,../img/d2s-tu5.jpg,
3,3,1299.00 ,0,"荣耀（honor）荣耀10青春版 标配版 4GB+64GB 全网通版 幻夜黑

幻彩渐变，2400万AI自拍，6.21英寸9",自营荣耀官方旗舰店,../img/l3a-tu1.jpg,../img/l3a-tu2.jpg,../img/l3a-tu3.jpg,../img/l3a-tu4.jpg,,,../img/l3b-tu1.jpg,../img/l3b-tu2.jpg,../img/l3b-tu3.jpg,../img/l3b-tu4.jpg,../img/l3b-tu5.jpg,,../img/d3b-tu1.jpg,../img/d3b-tu2.jpg,../img/d3b-tu3.jpg,../img/d3b-tu4.jpg,../img/d3b-tu5.jpg,../img/d3b-tu6.jpg,../img/d3s-tu1.jpg,../img/d3s-tu2.jpg,../img/d3s-tu3.jpg,../img/d3s-tu4.jpg,../img/d3s-tu5.jpg,../img/d3s-tu6.jpg
4,4,5388.00 ,0,"Apple iPhone XR 128G 珊瑚色 移动联通电信4G手机

“哪一面都是亮点”iPhone XR配备6.1",国美Apple产品专营点,../img/l4a-tu1.jpg,../img/l4a-tu2.jpg,../img/l4a-tu3.jpg,../img/l4a-tu4.jpg,../img/l4a-tu5.jpg,../img/l4a-tu6.jpg,../img/l4b-tu1.jpg,../img/l4b-tu2.jpg,../img/l4b-tu3.jpg,../img/l4b-tu4.jpg,../img/l4b-tu5.jpg,../img/l4b-tu6.jpg,../img/d4b-tu1.jpg,../img/d4b-tu2.jpg,../img/d4b-tu3.jpg,../img/d4b-tu4.jpg,../img/d4b-tu5.jpg,,../img/d4s-tu1.jpg,../img/d4s-tu2.jpg,../img/d4s-tu3.jpg,../img/d4s-tu4.jpg,../img/d4s-tu5.jpg,
5,5,8788.00 ,0,"Apple iPhone XS Max 256G 银色 移动联通电信4G手机

iPhone XS Max配备6.6英寸显示屏，",国美Apple产品专营店,../img/l1a-tu1.jpg,../img/l1a-tu2.jpg,../img/l1a-tu3.jpg,../img/l1a-tu4.jpg,../img/l1a-tu5.jpg,,../imgl1b-tu1.jpg,../imgl1b-tu2.jpg,../imgl1b-tu3.jpg,../imgl1b-tu4.jpg,../imgl1b-tu5.jpg,,../img/d1b-tu1.jpg,../img/d1b-tu2.jpg,../img/d1b-tu3.jpg,../img/d1b-tu4.jpg,../img/d1b-tu5.jpg,,../img/d1s-tu1.jpg,../img/d1s-tu2.jpg,..img/d1s-tu3.jpg,../img/d1s-tu4.jpg,../img/d1s-tu5.jpg,
6,6,1899.00 ,0,"荣耀（honor）荣耀8X (JSN-AL00)全网通6GB+128GB梦幻紫

拥有92%屏占比，破界无边的开阔视",自营荣耀官方旗舰店,../img/l2a-tu1.jpg,../img/l2a-tu2.jpg,../img/l2a-tu3.jpg,../img/l2a-tu4.jpg,../img/l2a-tu5.jpg,,../img/l2b-tu1.jpg,../img/l2b-tu2.jpg,../img/l2b-tu3.jpg,../img/l2b-tu4.jpg,../img/l2b-tu5.jpg,,../img/d2b-tu1.jpg,../img/d2b-tu2.jpg,../img/d2b-tu3.jpg,../img/d2b-tu4.jpg,../img/d2b-tu5.jpg,,../img/d2s-tu1.jpg,../img/d2s-tu2.jpg,../img/d2s-tu3.jpg,../img/d2s-tu4.jpg,../img/d2s-tu5.jpg,
7,7,1299.00 ,0,"荣耀（honor）荣耀10青春版 标配版 4GB+64GB 全网通版 幻夜黑

幻彩渐变，2400万AI自拍，6.21英寸10",自营荣耀官方旗舰店,../img/l3a-tu1.jpg,../img/l3a-tu2.jpg,../img/l3a-tu3.jpg,../img/l3a-tu4.jpg,,,../img/l3b-tu1.jpg,../img/l3b-tu2.jpg,../img/l3b-tu3.jpg,../img/l3b-tu4.jpg,../img/l3b-tu5.jpg,,../img/d3b-tu1.jpg,../img/d3b-tu2.jpg,../img/d3b-tu3.jpg,../img/d3b-tu4.jpg,../img/d3b-tu5.jpg,../img/d3b-tu6.jpg,../img/d3s-tu1.jpg,../img/d3s-tu2.jpg,../img/d3s-tu3.jpg,../img/d3s-tu4.jpg,../img/d3s-tu5.jpg,../img/d3s-tu6.jpg
8,8,5388.00 ,0,"Apple iPhone XR 128G 珊瑚色 移动联通电信4G手机

“哪一面都是亮点”iPhone XR配备6.2",国美Apple产品专营点,../img/l4a-tu1.jpg,../img/l4a-tu2.jpg,../img/l4a-tu3.jpg,../img/l4a-tu4.jpg,../img/l4a-tu5.jpg,../img/l4a-tu6.jpg,../img/l4b-tu1.jpg,../img/l4b-tu2.jpg,../img/l4b-tu3.jpg,../img/l4b-tu4.jpg,../img/l4b-tu5.jpg,../img/l4b-tu6.jpg,../img/d4b-tu1.jpg,../img/d4b-tu2.jpg,../img/d4b-tu3.jpg,../img/d4b-tu4.jpg,../img/d4b-tu5.jpg,,../img/d4s-tu1.jpg,../img/d4s-tu2.jpg,../img/d4s-tu3.jpg,../img/d4s-tu4.jpg,../img/d4s-tu5.jpg,
9,9,8788.00 ,0,"Apple iPhone XS Max 256G 银色 移动联通电信4G手机

iPhone XS Max配备6.7英寸显示屏，",国美Apple产品专营店,../img/l1a-tu1.jpg,../img/l1a-tu2.jpg,../img/l1a-tu3.jpg,../img/l1a-tu4.jpg,../img/l1a-tu5.jpg,,../imgl1b-tu1.jpg,../imgl1b-tu2.jpg,../imgl1b-tu3.jpg,../imgl1b-tu4.jpg,../imgl1b-tu5.jpg,,../img/d1b-tu1.jpg,../img/d1b-tu2.jpg,../img/d1b-tu3.jpg,../img/d1b-tu4.jpg,../img/d1b-tu5.jpg,,../img/d1s-tu1.jpg,../img/d1s-tu2.jpg,..img/d1s-tu3.jpg,../img/d1s-tu4.jpg,../img/d1s-tu5.jpg,
10,10,1899.00 ,0,"荣耀（honor）荣耀8X (JSN-AL00)全网通6GB+128GB梦幻紫

拥有93%屏占比，破界无边的开阔视",自营荣耀官方旗舰店,../img/l2a-tu1.jpg,../img/l2a-tu2.jpg,../img/l2a-tu3.jpg,../img/l2a-tu4.jpg,../img/l2a-tu5.jpg,,../img/l2b-tu1.jpg,../img/l2b-tu2.jpg,../img/l2b-tu3.jpg,../img/l2b-tu4.jpg,../img/l2b-tu5.jpg,,../img/d2b-tu1.jpg,../img/d2b-tu2.jpg,../img/d2b-tu3.jpg,../img/d2b-tu4.jpg,../img/d2b-tu5.jpg,,../img/d2s-tu1.jpg,../img/d2s-tu2.jpg,../img/d2s-tu3.jpg,../img/d2s-tu4.jpg,../img/d2s-tu5.jpg,
